,月份,样地,水温（T）,总溶解固体（TDS）,土壤电导率（EC）,pH,溶解氧（DO）,化学耗氧量（COD）,生物耗氧量（BOD）,氨氮（NH3-N）,总氮（TN）,总磷（TP）,总硬度,硫化物,粪大肠菌群,铬（Cr）,铜（Cu）,锌（Zn）,砷（As）,铅（Pb）
0,7月,冬春草地,20,238,478,6.71,5.41,64,24,0.76,3.07,1.98,251,0.008,142000,0.109,0.041,0.028,0.001,0.005
1,7月,冬春草地,16,232,464,6.82,5.28,56,21,0.84,3.71,2.31,243,0.007,118000,0.112,0.047,0.029,0.004,0.004
2,7月,冬春草地,18,234,474,7.02,5.42,57,27,0.83,4.68,3.39,260,0.012,130000,0.133,0.062,0.041,0.006,0.008
3,7月,冬春草地,18,235,473,6.88,5.31,57,25,0.82,3.83,2.58,257,0.011,125000,0.116,0.046,0.031,0.005,0.005
4,7月,冬春草地,17,233,474,6.83,5.42,61,26,0.83,3.81,2.54,255,0.008,35000,0.12,0.054,0.033,0.004,0.006
5,8月,冬春草地,23,245,497,7.03,5.5,58,25,3.01,6.98,3.28,278,0.021,104000,0.098,0.061,0.079,0.005,0.004
6,8月,冬春草地,23,262,509,7.11,4.7,62,26,3.78,7.43,3.17,248,0.025,115000,0.147,0.058,0.104,0.004,0.005
7,8月,冬春草地,22,244,484,7.13,5.1,69,30,3.53,8.24,3.48,328,0.029,138000,0.205,0.081,0.089,0.003,0.009
8,8月,冬春草地,22,251,494,7.11,5.17,65,30,3.47,7.57,3.39,286,0.027,129000,0.157,0.064,0.089,0.004,0.007
9,8月,冬春草地,23,250,498,7.07,5.03,61,24,3.41,7.53,3.33,284,0.023,109000,0.108,0.065,0.093,0.004,0.006
10,9月,冬春草地,18,364,625,7.81,4.76,43,19,1.47,5.98,3.09,427,0.015,102000,0.147,0.061,0.059,0.003,0.005
11,9月,冬春草地,17,357,641,7.99,5.13,46,21,1.51,6.27,3.1,320,0.016,126000,0.163,0.065,0.06,0.002,0.003
12,9月,冬春草地,17,342,628,8.29,4.72,46,23,1.7,6.47,3.29,397,0.02,147000,0.185,0.064,0.065,0.006,0.004
13,9月,冬春草地,17,354,632,8.03,4.87,45,21,1.56,6.24,3.17,380,0.017,125000,0.165,0.064,0.063,0.004,0.004
14,7月,夏秋草地,23,185,364,6.78,5.41,39,16,0.31,1.91,1.57,183,0.008,54000,0.157,0.045,0.141,0.013,0.003
15,7月,夏秋草地,19,193,376,6.63,4.98,43,21,0.34,2.61,1.46,197,0.006,62000,0.167,0.053,0.094,0.001,0.002
16,7月,夏秋草地,21,167,308,6.84,4.73,41,17,0.49,3.16,1.62,206,0.007,94000,0.165,0.051,0.043,0.027,0.001
17,7月,夏秋草地,20,187,360,6.72,5.01,40,18,0.35,2.5,1.57,196,0.007,67000,0.165,0.055,0.096,0.013,0.003
18,7月,夏秋草地,21,179,357,6.75,5.12,41,21,0.38,2.57,1.48,199,0.007,74000,0.16,0.047,0.107,0.096,0.002
19,7月,夏秋草地,21,172,372,6.73,5.04,42,15,0.44,2.48,1.55,194,0.007,59000,0.163,0.052,0.098,0.011,0.002
20,7月,夏秋草地,20,187,361,6.81,5.09,41,17,0.39,2.81,1.61,189,0.008,70000,0.165,0.05,0.112,0.097,0.001
21,7月,夏秋草地,21,191,347,6.57,4.87,40,29,0.42,2.44,1.49,205,0.007,82000,0.159,0.054,0.093,0.01,0.003
22,8月,夏秋草地,23,153,282,8.43,4.78,63,28,1.93,5.98,2.03,316,0.014,73000,0.359,0.051,0.094,0.005,0.002
23,8月,夏秋草地,21,233,482,7.61,5.13,54,24,2.71,5.47,2.25,223,0.019,136000,0.412,0.064,0.113,0.006,0.001
24,8月,夏秋草地,22,258,501,7.96,4.52,63,20,3.22,5.71,2.29,254,0.021,94000,0.285,0.059,0.092,0.005,0.001
25,8月,夏秋草地,21,198,387,7.83,4.82,61,23,2.73,5.72,2.19,263,0.019,127000,0.348,0.057,0.099,0.005,0.001
26,8月,夏秋草地,22,256,402,7.93,5.03,58,26,2.63,5.55,2.15,257,0.017,89000,0.361,0.058,0.103,0.005,0.002
27,8月,夏秋草地,21,271,394,8.02,5.11,61,28,2.58,5.8,2.23,240,0.018,10000,0.297,0.059,0.102,0.005,0.001
