,监测日期,监测地点,水温（T）,总溶解固体（TDS）,土壤电导率（EC）,pH,溶解氧（DO）,化学耗氧量（COD）,生物耗氧量（BOD）,氨氮（NH3-N）,总氮（TN）,总磷（TP）,总硬度,硫化物,粪大肠菌群,铬（Cr）,铜（Cu）,锌（Zn）,砷（As）,铅（Pb）
0,42517,黑河乡,13,64,156,7.02,6.69,32,11.2,0.16,1.35,0.25,95,0.002,2000,0.027,0.015,0.098,0.003,0.004
1,42519,黑河乡,16,77,168,7.04,7.07,44,9.7,0.27,1.75,0.43,86,0.003,4000,0.057,0.01,0.112,0.005,0.005
2,42520,黑河乡,nan,nan,nan,7.02,7.38,39,10.5,0.09,1.23,0.17,nan,0.004,7000,0.175,0.007,0.053,0.006,0.007
3,42521,黑河乡,20,78,162,7.01,5.74,36,11.2,0.29,1.08,0.21,121,0.005,15000,0.069,0.034,0.079,0.005,0.009
4,42524,黑河乡,17,81,174,7.05,6.89,31,14.7,0.14,0.87,0.27,94,0.003,1000,0.09,0.027,0.087,0.001,0.002
5,42525,黑河乡,nan,nan,nan,7.06,6.07,35,12.8,0.27,0.95,0.38,nan,0.001,8000,0.057,0.01,0.084,0.003,0.004
6,42546,黑河乡,nan,nan,nan,7.04,5.97,47,15.7,0.09,1.14,0.14,nan,0.002,6000,0.203,0.022,0.125,0.002,0.006
7,42547,黑河乡,nan,nan,nan,7.02,8.36,35,12.1,0.22,1.32,0.4,91,0.204,2000,0.086,0.019,0.073,0.003,0.007
8,42549,黑河乡,21,77,156,6.98,8.93,32,11.8,0.15,1.59,0.09,75,0.002,20000,0.101,0.02,0.114,0.004,0.005
9,42550,黑河乡,23,78,166,7.05,7.69,41,13.4,0.31,1.65,0.22,nan,0.003,25000,0.077,0.049,0.127,0.001,0.004
10,42556,黑河乡,20,84,172,7.06,5.92,38,15.2,0.18,1.38,0.18,nan,0,13000,0.109,0.44,0.132,0.01,0.006
11,42557,黑河乡,nan,nan,nan,7.09,6.61,32,11.7,0.18,1.44,0.37,77,0.064,5000,0.082,0.035,0.079,0.006,0.007
12,42558,黑河乡,nan,nan,nan,7.04,4.97,44,12,0.21,1.78,0.41,75,0.019,7000,0.108,0.032,0.052,0.004,0.005
13,42580,黑河乡,nan,nan,nan,7.03,5.83,29,14.6,0.32,2.11,0.36,nan,0.005,11000,0.113,0.041,0.067,0.003,0.004
14,42581,黑河乡,nan,nan,nan,7.04,6.71,37,13.9,0.23,2.04,0.36,nan,0.011,9000,0.098,0.027,0.053,0.001,0.004
15,42582,黑河乡,nan,nan,nan,7.03,7.63,46,10.5,0.24,1.98,0.34,64,0.006,5000,0.058,0.02,0.088,0.003,0.006
16,42586,黑河乡,22,73,156,7.02,6.15,38,12.4,0.19,1.74,0.27,55,0.004,2000,0.109,0.017,0.108,0.006,0.001
17,42587,黑河乡,21,82,159,7.03,5.82,33,13.1,0.18,2.12,0.28,nan,0.003,3000,0.097,0.023,0.214,0.001,0.004
18,42588,黑河乡,21,91,186,7.03,6.2,45,14.2,0.23,2.31,0.31,76,0.002,7000,0.078,0.02,0.163,0.002,0.005
19,42613,黑河乡,nan,nan,nan,7.05,5.72,49,13.7,0.21,1.92,0.39,nan,0.005,16000,0.069,0.018,0.045,0.004,0.006
20,42614,黑河乡,nan,nan,nan,7.02,5.88,34,12.1,0.19,1.73,0.18,nan,0.007,5000,0.037,0.031,0.072,0.006,0.007
21,42615,黑河乡,18,93,191,7.04,4.48,28,11.9,0.22,2.04,0.25,nan,0.012,8000,0.125,0.016,0.036,0.004,0.005
22,42618,黑河乡,19,78,174,7.11,4.31,37,13.5,0.19,1.87,0.32,81,0.015,9000,0.107,0.022,0.054,0.003,0.006
23,42619,黑河乡,nan,nan,nan,7.05,3.98,42,10.8,0.23,2.12,0.35,nan,0.013,13000,0.209,0.018,0.078,0.004,0.003
24,42622,黑河乡,19,84,183,7.06,4.69,45,12.6,0.26,2.08,0.23,131,0.008,17000,0.105,0.034,0.083,0.007,0.004
25,42623,黑河乡,nan,nan,nan,7.04,4.32,47,12.9,0.16,1.98,0.37,154,0.011,9000,0.098,0.022,0.107,0.001,0.005
26,42628,黑河乡,nan,nan,nan,6.98,5.17,41,15.1,0.21,1.45,0.44,nan,0.024,21000,0.057,0.018,0.044,0.006,0.003
27,42629,黑河乡,nan,nan,nan,7.05,4.38,51,14.8,0.26,1.73,0.39,nan,0.008,30000,0.078,0.021,0.062,0.005,0.002
28,42630,黑河乡,18,79,188,7.11,4.92,39,13.6,0.2,1.97,0.27,nan,0.011,25000,0.063,0.033,0.058,0.003,0.005
29,42633,黑河乡,nan,nan,nan,7.08,5.63,46,10.9,0.28,2.06,0.39,121,0.014,25000,0.034,0.035,0.037,0.001,0.005
30,42634,黑河乡,17,81,190,7.07,6.47,37,12.3,0.25,2.11,0.41,157,0.012,16000,0.041,0.037,0.041,0.002,0.006
31,42635,黑河乡,16,84,183,7.08,5.38,44,13.4,0.29,2.05,0.35,nan,0.013,23000,0.037,0.042,0.125,0.008,0.007
32,42638,黑河乡,nan,nan,nan,7.1,4.75,50,13.7,0.19,1.87,0.27,163,0.009,25000,0.052,0.028,0.093,0.006,0.004
33,42639,黑河乡,nan,nan,nan,7.09,4.93,39,14.1,0.15,1.73,0.36,nan,0.01,27000,0.049,0.025,0.057,0.009,0.005
34,42640,黑河乡,nan,nan,nan,7.1,3.92,46,13.8,0.21,1.79,0.39,nan,0.008,29000,0.067,0.039,0.043,0.006,0.007
