,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,铁（Hg2599）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）
0,1,6,W01-1,st6-1,0.3664,-0.0034,0.0152,0.0182,0.009,0.0267,0.0003,17.24,-0.0002,0.0,0.0023,0.9618840000000002,0.49595000000000006,0.1236,0.2254,0.2867,-0.0056,-0.0255,0.6422,0.8234,5.225,5.194,4.018,0.0075,0.0096,0.1791,-0.0043,0.0128,0.0423,-0.0269,0.0033,1.207,2.076,1.995,0.0348,-0.0192,0.1577,0.2892,0.3305,0.0053,0.0104,0.001,0.0082
1,2,6,W01-2,st6-2,-0.1731,-0.0039,0.0131,0.015,0.0032,0.0212,0.0003,16.91,-0.0002,-0.0001,0.001,0.25733520000000004,0.32865,-0.4494,-0.4392,-0.4338,-0.0054,-0.0244,0.5409,0.6919,4.938,5.024,3.89,-0.0003,0.0091,0.1839,0.0039,0.0181,0.0283,-0.0265,0.0016,1.199,2.025,1.953,-0.0008,-0.0188,0.152,0.2795,0.314,-0.003,0.0008,0.0001,0.0358
2,3,6,W01-3,st6-3,-0.1973,-0.0045,-0.0015,-0.001,-0.0064,0.0042,0.0003,0.6607,-0.0002,0.0,0.0005,0.284193,0.3052,-0.4768,-0.471,-0.4681,-0.0054,-0.007,0.2284,0.2887,2.106,2.111,1.615,-0.0011,0.007,0.0899,-0.0046,0.0178,0.04,-0.0327,-0.0028,0.0271,0.0648,0.0618,-0.0008,-0.0183,0.0072,0.0148,0.0178,-0.0033,-0.0002,-0.0007,0.0185
3,4,6,W01-5,st6-4,-0.1706,-0.0034,0.0089,0.0104,0.0005,0.0347,0.0002,16.54,0.0,0.0007,0.0021,0.3247920000000001,0.43084999999999996,-0.448,-0.4374,-0.4321,-0.0047,-0.0206,1.404,1.846,7.219,7.181,5.493,-0.0002,0.0083,0.2148,-0.0028,0.0077,0.0259,-0.0272,0.0017,0.9417,1.58,1.513,0.0021,-0.02,0.1067,0.1959,0.2192,-0.0032,0.0011,0.0006,0.0069
4,5,6,W01-6,st6-5,-0.2032,-0.0034,0.0046,0.0053,-0.0027,0.0229,0.0002,11.99,-0.0001,0.0007,0.0031,0.29075130000000005,0.40635000000000004,-0.4728,-0.4664,-0.4631,-0.0048,-0.0183,0.5802,0.7429,6.469,6.557,4.909,-0.0007,0.0074,0.1817,-0.0058,0.0075,0.0274,-0.0306,0.0005,0.7944,1.323,1.263,-0.0071,-0.0177,0.0861,0.1585,0.176,-0.0036,0.0005,0.0009,0.0022
5,6,6,W01-7,st6-6,-0.2173,-0.0039,0.0924,0.1012,0.0572,0.0574,0.0002,19.05,-0.0002,-0.0002,0.0021,0.924408,0.6006,-0.4812,-0.4759,-0.4734,-0.0045,-0.0247,0.8689,1.118,12.18,12.49,9.74,-0.0013,0.0074,1.863,-0.0055,-0.0032,0.0216,-0.0275,0.0029,1.836,3.07,2.951,-0.0063,-0.0196,0.5589,1.022,1.141,-0.0037,0.0004,-0.0001,0.0025
6,7,6,W01-8,st6-7,-0.202,-0.0043,0.0966,0.1054,0.0611,0.0498,0.0002,17.88,-0.0002,-0.0002,0.0013,0.20174579999999998,0.2744,-0.47,-0.4632,-0.4595,-0.0045,-0.0232,0.8802,1.134,12.76,13.31,10.22,-0.0008,0.0071,2,-0.003,0.0043,0.046,-0.025,0.0016,1.835,3.08,2.945,-0.0038,-0.018,0.5677,1.04,1.161,-0.0037,0.0006,0.0003,0.0161
7,8,6,W01-9,st6-8,-0.2162,-0.0053,0.0772,0.0861,0.0466,0.0696,0.0002,19.53,-0.0002,-0.0003,0.0016,0.1939383,0.3248,-0.4842,-0.4797,-0.4771,-0.0046,-0.0216,0.9257,1.183,10.7,11.23,8.321,-0.001,0.0066,1.554,-0.0051,0.0012,0.0299,-0.0253,0.0014,1.835,3.093,2.864,-0.0068,-0.0182,0.5141,0.9407,1.043,-0.0038,0.0005,-0.0003,0.0061
8,9,6,W02-1,st6-9,-0.2165,-0.0053,0.0242,0.0272,0.0111,0.0234,0.0002,14.62,-0.0001,-0.0001,0.0016,1.2488877,0.6702499999999999,-0.4799,-0.4752,-0.4722,-0.0044,-0.0204,1.509,1.943,9.669,10.13,7.576,-0.0005,0.0059,0.4592,-0.0014,0.0349,0.1937,-0.0253,0.0024,1.272,2.151,2.005,-0.0034,-0.0184,0.2232,0.4103,0.4562,-0.0038,0.0003,-0.001,0.0141
9,10,6,W02-2,st6-10,-0.2138,-0.0053,0.0156,0.0171,0.0049,0.0126,0.0002,2.128,-0.0002,-0.0001,0.0019,0.1130526,0.1778,-0.4648,-0.4572,-0.4531,-0.0046,-0.0129,0.816,1.048,8.349,8.6,6.481,0.0005,0.0072,0.4041,-0.0026,-0.0012,0.0341,-0.0257,0.0006,0.2301,0.4011,0.377,-0.0088,-0.0183,0.053,0.0986,0.1113,-0.0035,0.0001,-0.001,0.0066
