,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）,汞（Hg2599）
0,1,6,S01-1,tr6-1,^ *****,0.18382199999999999,0.7747,0.7502,1.665,1.371,0.0137,332.9,0.003911111111111112,0.1024,0.1683,0.9618840000000002,0.49595000000000006,138.1,186.2,-0.0029,-0.0084,^ *****,43.8,34.76,39.11,34.97,3.709,0.0331,0.2275,0.3871,2.125,10.41,1.335,-0.0143,1.498,2.467,2.302,16.96,-0.0173,0.6243,1.202,1.379,6.619,7.516,0.4762,0.368,
1,2,6,S01-2,tr6-2,48.64,0.185422,0.1697,0.0568,0.1471,0.5751,^ *****,62.64,0.0018222222222222218,0.0985,0.0942,0.25733520000000004,0.32865,83.34,50.75,-0.0082,-0.0183,^ *****,24.23,18.26,21.95,12,2.086,0.0248,0.1671,0.495,1.299,1.905,0.1987,-0.0148,0.7015,0.6164,0.272,2.881,0.0391,0.127,0.732,0.5306,2.397,3.689,0.3715,0.3703,
2,3,6,S01-3,tr6-3,54.12,0.18402200000000002,0.1873,0.0751,0.1555,0.6186,^ *****,81.57,0.0018222222222222218,0.0964,0.0994,0.284193,0.3052,82.33,50.52,-0.0084,-0.0148,^ *****,29.87,18.34,22.51,12.26,1.623,0.0234,0.203,0.5046,1.441,2.082,0.1988,-0.0121,0.8532,0.7644,0.3439,2.809,0.0413,0.1392,0.8296,0.6184,2.926,4.494,0.4275,0.3923,
3,4,6,S01-4,tr6-4,^ *****,0.25532200000000005,0.9058,0.8134,2.489,3.021,0.0256,107.6,0.005966666666666667,0.1717,0.307,1.6604991000000004,0.8834000000000001,^ *****,^ *****,-0.0034,-0.016,^ *****,^ *****,51.2,61.09,57.05,6.39,0.0517,0.4275,0.687,3.399,16.64,2.231,-0.0303,1.171,1.773,1.65,27.92,0.0185,0.4574,0.9402,1.05,9.049,10.2,0.8181,0.5994,
4,5,6,S01-5,tr6-5,63.55,0.220322,0.2568,0.1154,0.2075,0.8348,^ *****,28.73,0.0019555555555555554,0.1233,0.1377,0.3247920000000001,0.43084999999999996,93.28,59.02,-0.0084,-0.0196,^ *****,31.1,22.75,25.2,15.56,2.519,0.0264,0.2231,0.6208,2.077,2.92,0.2576,-0.0172,0.3341,0.2858,0.1179,3.727,0.0593,0.1188,0.5721,0.395,2.812,4.306,0.4743,0.4556,
5,6,6,S01-6,tr6-6,58.63,0.215422,0.2324,0.0937,0.1947,0.7859,^ *****,26.97,0.001922222222222222,0.1222,0.1246,0.29075130000000005,0.40635000000000004,92.97,58.25,-0.0081,-0.0227,^ *****,28.41,21.64,26.54,14.61,2.548,0.0257,0.1849,0.6213000000000001,2.136,2.947,0.2596,-0.0179,0.394,0.343,0.146,3.656,0.0548,0.1123,0.5415,0.3727,2.416,3.768,0.4332,0.5012,
6,7,6,S01-7,tr6-7,^ *****,0.16452199999999997,0.841,0.8296,1.63,2.085,0.0136,290.1,0.0033555555555555548,0.0932,0.16369999999999998,0.924408,0.6006,132,178,-0.0036,-0.0149,^ *****,44.63,41.42,47.68,43.1,4.249,0.0299,0.4421,0.3738,3.857,18.85,1.255,-0.0096,0.7331,1.157,1.076,15.82,0.0027,2.435,4.501,5.273,4.72,5.32,0.4133,0.402,
7,8,6,S01-8,tr6-8,36.29,0.148522,0.1646,0.084,0.1256,0.5332,^ *****,^ *****,0.0010888888888888888,0.0713,0.0851,0.20174579999999998,0.2744,67.23,40.47,-0.0087,-0.0185,14.46,19.27,17.08,20.98,^ *****,1.702,0.0122,0.2504,0.3419,1.758,2.376,0.15,-0.0082,0.381,0.3449,0.1459,2.115,0.0236,0.4183,2.833,2.303,1.577,2.408,0.2545,0.2642,
8,9,6,S01-9,tr6-9,39.3,0.152922,0.238,0.1484,0.1661,0.5994,^ *****,87.96,0.0012000000000000001,0.0755,0.0886,0.1939383,0.3248,70.83,43.61,-0.0077,-0.0239,15.02,20.19,14.17,20.22,11.15,2.384,0.0148,0.2268,0.3686,2.871,3.94,0.1526,-0.0089,0.4217,0.3815,0.1631,2.299,0.0313,0.3802,2.4,1.926,1.557,2.407,0.2687,0.3607,
9,10,6,S02-1,tr6-10,^ *****,0.19992200000000002,0.6764,0.6098,1.852,2.451,0.0189,171.1,0.004466666666666666,0.1251,0.2221,1.2488877,0.6702499999999999,155.8,^ *****,-0.0034,-0.0093,^ *****,65.58,48.06,56.94,53.15,3.976,0.0401,0.4016,0.4566,3.722,17.94,1.654,-0.0152,0.4737,0.7576,0.7021,20.83,-0.0016,0.8693,1.668,1.916,7.766,8.787,0.6497,0.4613,
10,11,6,S02-2,tr6-11,23.23,0.220522,0.1171,0.0345,0.0966,0.3531,^ *****,25.36,0.001011111111111111,0.054700000000000006,0.0537,0.1130526,0.1778,65.11,38.93,-0.0064,-0.0473,6.559,8.331,8.194,9.53,4.621,0.621,0.0101,0.1867,0.2595,3.358,4.515,0.1152,-0.0081,0.6027,0.5458,0.2392,2.049,0.001,0.1461,0.7553,0.5598,0.8133,1.225,0.1497,0.253,
11,12,6,S02-3,tr6-12,55.68,0.196022,0.2353,0.1178,0.1851,0.8051,^ *****,^ *****,0.0016777777777777778,0.1085,0.1064,0.2607705,0.39725,85.03,54.25,-0.0088,-0.0161,^ *****,29.47,14.24,27.23,^ *****,3.247,0.0218,0.2397,0.5055000000000001,2.992,3.991,0.2115,-0.0142,0.4689,0.4298,0.1898,3.156,0.0511,0.2015,1.168,0.9068,2.46,3.78,0.4124,0.399,
12,13,6,S02-4,tr6-13,^ *****,0.4320220000000001,0.5541,0.5246,1.307,3.022,0.0136,354.1,0.0029666666666666665,0.062200000000000005,0.121,0.8004248999999999,0.52325,121.8,161.5,-0.002,-0.0134,^ *****,40.58,37.27,43.6,38.82,1.586,0.0813,0.3491,0.2977,3.235,15.62,1.095,-0.0121,0.6084,0.9858,0.9064,13.94,-0.0045,2.098,3.892,4.548,4.371,4.977,0.4097,0.2889,
13,14,6,S02-5,tr6-14,49.79,0.162622,0.1097,0.004,0.12,0.659,^ *****,40.57,0.005044444444444443,0.091,0.0925,0.2298528,0.24359999999999996,84.82,52.76,-0.0081,-0.0122,^ *****,22.26,17.11,17,9.069,2.198,0.0156,0.1512,0.4468,2.436,3.176,0.6405,-0.0166,0.7846,0.7307,0.3379,3.008,0.036,0.0836,0.3665,0.2457,2.175,3.39,0.3426,0.3406,
14,15,6,S02-6,tr6-15,33.35,0.24402200000000002,0.2002,0.1141,0.1413,0.604,^ *****,^ *****,0.0011555555555555557,0.0626,0.0647,0.16957889999999998,0.25969999999999993,66.68,41.34,-0.008,-0.0317,14.96,20.29,15.01,15.31,10.64,1.147,0.0177,0.1703,0.3157,4.279,5.546,0.1562,-0.0087,0.4904,0.4397,0.1883,2.093,0.0153,0.2833,1.679,1.312,1.432,2.241,0.2431,0.293,
15,16,6,S02-7,tr6-16,94.41,0.220322,0.4141,0.3534,1.309,2.446,0.0099,648.6,0.003288888888888889,0.0582,0.10850000000000001,0.7042364999999999,0.42279999999999995,128.8,172.7,-0.002,-0.0157,15.97,24.1,33.9,38.03,34.16,6.649,0.0226,0.3463,0.2521,2.639,12.73,1.167,-0.0083,0.9123,1.477,1.367,15.37,-0.012,3.696,6.817,8.082,2.762,3.114,0.271,0.2131,
16,17,6,S02-8,tr6-17,17.78,0.397322,0.1578,0.0705,0.1239,0.5679,^ *****,109.4,0.0012111111111111112,0.0434,0.0421,0.0983745,0.2709,67.07,41.73,-0.0086,-0.0268,7.617,9.87,21.02,27.17,^ *****,2.221,0.0112,^ *****,0.2772,3.66,4.665,0.0899,-0.0087,0.5003,0.4541,0.1962,2.167,0.0048,0.7042,4.736,3.847,0.7201,1.101,0.1262,0.1985,
17,18,6,S02-9,tr6-18,32.38,0.40732199999999996,0.1876,0.0493,0.1743,0.8002,^ *****,133.2,0.001977777777777778,0.057600000000000005,0.0415,0.1667682,0.32725000000000004,89.68,59.62,-0.0088,-0.0228,13.01,17.65,21.02,20.22,14.31,3.351,0.0197,0.3789,0.3,5.733,7.272,0.1692,-0.0174,0.4247,0.3902,0.1755,3.729,0.0199,0.3542,2.102,1.699,1.498,2.293,0.2403,0.2828,
18,19,6,S03-1,tr6-19,^ *****,0.20002200000000003,0.4197,0.2693,2.127,2.472,0.0201,46.3,0.005722222222222222,0.15389999999999998,0.267,1.4072238000000001,0.6688500000000001,^ *****,^ *****,-0.0049,-0.0091,^ *****,55.47,44.22,51.66,46.37,7.829,0.0416,0.3209,0.5458000000000001,2.813,13.59,2.157,-0.0289,0.6288,1.006,0.941,27.53,-0.0021,0.555,1.116,1.248,7.374,8.279,0.641,0.5019,
19,20,6,S03-2,tr6-20,41.98,0.151022,0.1046,0.0086,0.1068,0.5298,^ *****,27.6,0.0013444444444444448,0.08750000000000001,0.0868,0.2033073,0.19635000000000002,79.09,49.22,-0.0083,-0.0114,13.79,18.68,16.25,19.45,10.52,1.966,0.0141,0.1515,0.3801,2.561,3.21,0.166,-0.0145,0.4241,0.3817,0.1642,2.73,0.0295,0.1398,0.876,0.6597,2.193,3.391,0.3036,0.3076,
20,21,6,S03-3,tr6-21,32.98,0.145722,0.0735,-0.0137,0.0857,0.4024,^ *****,24.68,0.0012333333333333335,0.08020000000000001,0.0806,0.16551899999999997,0.17255000000000004,72.67,45.26,-0.0085,-0.0097,10.18,13.69,15.35,14.26,9.193,1.765,0.0121,0.1266,0.3548,2.512,3.09,0.1447,-0.0124,0.3212,0.2864,0.114,2.466,0.0215,0.1221,0.7647,0.5646,1.592,2.495,0.2489,0.2673,
21,22,6,S03-4,tr6-22,^ *****,0.22432200000000002,0.4352,0.2522,2.39,2.638,0.0255,199.6,0.0067,0.1828,0.322,1.7460693,0.8382500000000002,^ *****,^ *****,-0.0033,-0.0089,^ *****,^ *****,47.93,56.89,52.41,6.284,0.044,0.4698,0.6625000000000001,4.015,19.46,2.477,-0.0339,0.481,0.7678,0.7051,31.39,0.0027,2.046,3.84,4.47,10.24,11.65,0.8119,0.5808,
22,23,6,S03-5,tr6-23,54.77,0.203722,0.148,0.0117,0.153,0.649,^ *****,^ *****,0.0019111111111111113,0.116,0.1153,0.2648304,0.31290000000000007,90.01,58.82,-0.0089,-0.0132,^ *****,27.36,16.1,19.8,^ *****,2.7,0.0169,0.2057,0.5175000000000001,3.803,4.639,0.2289,-0.0201,0.7022,0.6515,0.2965,3.829,0.0483,0.3578,2.267,1.805,3.051,4.791,0.418,0.366,
23,24,6,S03-6,tr6-24,44.48,0.194822,0.1688,0.0385,0.1622,1.037,^ *****,42,0.0019444444444444442,0.1057,0.1093,0.2142378,0.45254999999999995,91.69,59.15,-0.0087,-0.0284,13.73,18.75,16.23,16.81,9.096,10.35,0.0258,0.1716,0.4299,11.95,14.86,0.183,-0.0081,0.4255,0.3906,0.1695,3.662,0.1018,0.3168,1.433,1.114,1.586,2.505,0.3046,0.5238,
24,25,6,S03-7,tr6-25,33.87,0.144022,0.0673,-0.0181,0.0823,0.3398,^ *****,26.11,0.0012111111111111112,0.0811,0.0971,0.16926660000000002,0.15925,72.11,45.83,-0.0078,-0.0098,9.681,12.85,12.14,15.16,8.154,1.224,0.0098,0.1498,0.3476,2.717,3.284,0.1442,-0.0135,0.3723,0.3466,0.146,2.549,0.0136,0.1843,1.171,0.907,2.658,4.139,0.2682,0.2456,
25,26,6,S03-8,tr6-26,39.01,0.14362200000000003,0.0751,-0.0155,0.0906,0.4123,^ *****,57.31,0.0012444444444444443,0.0901,0.0977,0.20549340000000002,0.1904,77.25,46.86,-0.0081,-0.0125,12.11,16.07,16.34,20.47,11.12,1.19,0.0138,0.139,0.4108,1.385,1.97,0.1522,-0.0147,0.8355,0.7659,0.3549,2.515,0.0162,0.11,0.6088,0.4494,2.66,4.097,0.2974,0.2996,
26,27,6,S03-9,tr6-27,66.95,0.219822,0.2634,0.1171,0.2173,0.89,^ *****,28.51,0.0021000000000000003,0.1296,0.1123,0.3319749,0.44520000000000004,97.61,62.12,-0.0083,-0.0202,^ *****,31.58,22.58,29.12,16.36,2.748,0.0275,0.2055,0.6844,1.987,2.844,0.2947,-0.0196,0.5925,0.5647,0.2585,3.921,0.0578,0.122,0.5837,0.4105,2.927,4.394,0.487,0.4763,
27,28,6,S04-1,tr6-28,^ *****,0.22492199999999996,0.4424,0.2935,2.198,2.789,0.0246,49.48,0.005811111111111111,0.16419999999999998,0.2989,1.6564392000000001,0.77875,^ *****,^ *****,-0.0045,-0.0096,^ *****,^ *****,41.62,47.98,43.01,7.891,0.0516,0.378,0.5881000000000001,3.65,17.32,2.248,-0.0273,0.41,0.6579,0.6125,28.25,0.0302,0.6666,1.325,1.504,8.016,8.995,0.7642,0.5622,
