,序号,月份,样品号,经度,纬度,ph,全氮g/kg,水解性氮mg/kg,有机物%,有效磷（mg/kg),有效钾(mg/kg),全钾（g/kg）,全磷(g/kg)
0,1,6,598,103.9607032,30.45450451,4.145,1.931541243,224.6861228,3.288825101,21.60371665,236,15.075,0.7495
1,2,6,599,103.9614016,30.45450228,5.535,1.493212245,136.7067256,1.813367314,3.816472137,21.64,nan,nan
2,3,6,600,103.9614016,30.45380029,5.29,1.519526673,169.8275747,4.753972985,5.245142956,68.78,11.235,0.327825
3,4,6,601,103.9606996,30.45380029,nan,nan,nan,nan,nan,nan,nan,nan
4,5,6,602,103.9621036,30.45380029,4.815,1.395326735,181.2243604,1.66237219,0.935402102,56.96,11.58,0.33465
5,6,6,603,103.9621036,30.45450228,nan,nan,nan,nan,nan,nan,nan,nan
6,7,6,604,103.9628056,30.45380029,nan,nan,nan,nan,nan,nan,nan,nan
7,8,6,605,103.9606996,30.45309831,4.76,1.316161702,114.6435617,1.260661602,9.165841605,90.52,10.4875,0.44995
8,9,6,606,103.9614016,30.45309831,4.21,1.878075608,239.7777972,3.951096364,4.808260963,64.16,12.0025,0.48075
9,10,6,607,103.9621036,30.45309831,5.825,1.664846429,239.750164,4.120159274,22.76040869,81,nan,nan
10,11,6,608,103.9628056,30.45309831,6.51,0.910329064,87.42454536,0.655017728,3.302737055,148.42,nan,nan
11,12,6,609,103.9635075,30.45309831,6.445,1.037014735,93.47633506,1.115679219,6.077790514,74.14,9.185,0.410725
12,13,6,610,103.9641939,30.45309831,5.34,1.528435603,132.6674991,1.355690916,7.569839808,55.2,12.065,0.659
13,14,6,611,103.9648959,30.45309831,nan,nan,nan,nan,nan,nan,nan,nan
14,15,6,612,103.9655979,30.45309831,5.385,1.261415759,107.4851844,2.229855792,9.000432989,53.7,12.565,0.331325
15,16,6,613,103.9662999,30.45309831,nan,nan,nan,nan,nan,nan,nan,nan
16,17,6,614,103.9606996,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
17,18,6,615,103.9614016,30.45239632,6.055,1.55609037,132.1492578,3.191115953,0.556243662,100.2,11.86,0.515725
18,19,6,616,103.9621036,30.45239632,4.975,1.517980011,154.5367253,3.090564681,6.637933494,82.1,12.7225,0.59075
19,20,6,617,103.9628056,30.45239632,5.465,1.03924853,113.3515583,1.490276837,19.80540098,64.42,nan,nan
20,21,6,618,103.9635075,30.45239632,4.635,1.222870998,124.6533562,0.96533174,7.63924819,83.7,10.37,0.49225
21,22,6,619,103.9641939,30.45239632,4.88,1.260766545,136.4215356,1.533059954,24.89571702,173.12,11.2875,0.482875
22,23,6,620,103.9648959,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
23,24,6,621,103.9655979,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
24,25,6,622,103.9662999,30.45239632,6.905,1.269272047,172.8653537,1.476412681,25.23941885,84.84,13.6275,0.315175
25,26,6,623,103.9670019,30.45239632,5.03,1.50055027,127.3102542,3.27990811,1.733861496,47.94,9.5625,0.521425
26,27,6,624,103.9677039,30.45239632,nan,nan,nan,nan,nan,nan,nan,nan
27,28,6,625,103.9684058,30.45239632,5.06,1.432178195,138.6074994,3.678167014,6.118124491,79.52,10.1725,0.33365
28,29,6,626,103.9614016,30.45169433,5.855,1.728198859,177.2444778,2.873524342,5.109404914,38.06,nan,nan
29,30,6,627,103.9621036,30.45169433,6.025,1.21733182,107.0656519,1.213829024,0.944411335,39.44,10.595,0.8155
30,31,6,628,103.9628056,30.45169433,5.32,1.247458755,121.5787383,1.085226321,1.834837046,40.36,14.0875,0.50075
31,32,6,629,103.9635075,30.45169433,5.715,2.100412595,204.1439894,2.919088337,11.00406625,116.72,14.7225,0.275
32,33,6,630,103.9641939,30.45169433,5.86,1.478998524,141.0456302,3.252396492,5.823167433,52.42,10.0675,0.23445
33,34,6,631,103.9648959,30.45169433,nan,nan,nan,nan,nan,nan,nan,nan
