,序号,养殖场,样品号,pH
0,1,小金圣源,sy1,7.86
1,2,小金圣源,sy2,8.28
2,3,小金圣源,sy3,8.34
3,4,小金圣源,sy4,8.12
4,5,小金圣源,sy5,8.43
5,6,小金圣源,sy6,8.31
6,7,小金圣源,sy7,8.34
7,8,小金圣源,sy8,8.26
8,9,小金圣源,sy9,8.35
9,10,小金华兴,hx1,7.77
10,11,小金华兴,hx2,8.24
11,12,小金华兴,hx3,8.19
12,13,小金华兴,hx4,8.53
13,14,小金华兴,hx5,8.62
14,15,小金华兴,hx6,8.81
15,16,小金华兴,hx7,7.89
16,17,小金华兴,hx8,7.67
17,18,小金华兴,hx9,7.75
18,19,金川庆宁,qn1,7.61
19,20,金川庆宁,qn2,7.62
20,21,金川庆宁,qn3,7.61
21,22,金川庆宁,qn4,7.82
22,23,金川庆宁,qn5,7.67
23,24,金川庆宁,qn6,7.63
24,25,金川庆宁,qn7,7.67
25,26,金川庆宁,qn8,7.75
26,27,金川庆宁,qn9,7.69
27,28,金川勒乌,lw1,7.94
28,29,金川勒乌,lw2,7.91
29,30,金川勒乌,lw3,7.02
30,31,金川勒乌,lw4,7.25
31,32,金川勒乌,lw5,7.37
32,33,金川勒乌,lw6,7.44
33,34,金川勒乌,lw7,8.23
34,35,金川勒乌,lw8,8.21
35,36,金川勒乌,lw9,8.27
36,37,马尔康雪松,xs1,7.93
37,38,马尔康雪松,xs2,7.74
38,39,马尔康雪松,xs3,7.65
39,40,马尔康雪松,xs4,7.82
40,41,马尔康雪松,xs5,7.74
41,42,马尔康雪松,xs6,7.61
42,43,马尔康雪松,xs7,7.89
43,44,马尔康雪松,xs8,7.96
44,45,马尔康雪松,xs9,7.96
45,46,茂县茂兴,mx1,7.97
46,47,茂县茂兴,mx2,7.85
47,48,茂县茂兴,mx3,7.88
48,49,茂县茂兴,mx4,7.41
49,50,茂县茂兴,mx5,7.63
50,51,茂县茂兴,mx6,7.65
51,52,茂县茂兴,mx7,7.92
52,53,茂县茂兴,mx8,7.98
53,54,茂县茂兴,mx9,8.02
54,55,汶川绵虒,mc1,7.02
55,56,汶川绵虒,mc2,7.11
56,57,汶川绵虒,mc3,7.35
57,58,汶川绵虒,mc4,7.25
58,59,汶川绵虒,mc5,7.22
59,60,汶川绵虒,mc6,7.21
60,61,汶川绵虒,mc7,8.02
61,62,汶川绵虒,mc8,8.02
62,63,汶川绵虒,mc9,8.02
63,64,松潘雄山,spxs1,7.83
64,65,松潘雄山,spxs2,7.84
65,66,松潘雄山,spxs3,7.88
66,67,松潘雄山,spxs4,7.69
67,68,松潘雄山,spxs5,7.68
68,69,松潘雄山,spxs6,7.65
69,70,松潘雄山,spxs7,7.55
70,71,松潘雄山,spxs8,7.54
71,72,,spxs9,7.39
