nan,序号,养殖场,样品号,铝（Al3961）,砷（As1937）,硼（B2089）,钡（Ba4934）,钙（Ca1840）,镉（Cd2144）,钴（Co2378）,铬（Cr2843）,铜（Cu2247）,铁（Fe2395）,汞（Hg1942）,钾（K7698）,镁（Mg2802）,锰（Mn2939）,钼（Mo2045）,钠（Na5895）,镍（Ni2216）,磷（P1858）,铅（Pb1822）,铅（Pd3242）,铷（Rb4244）,硒（Se1960）,硅（Si2881）,锡（Sn1899）,锶（Sr4215）,钛（Ti3361）,铊（Tl1908）,钒（V2687）,锌（Zn2062）
0,1,小金圣源,sy1,77.25,0.1695,0.1304,0.6145,363.1,0.0179,0.0003,0.0937,0.5619,190.2,-0.0258,3.275,nan,4.495,0.0285,0.5597,0.5991,7.207,0.3269,2.703,nan,0.0169,0.7402,0.0138,1.019,1.715,0.7235,0.1705,1.268
1,2,小金圣源,sy2,84.79,0.1581,0.1233,0.5986,325.1,0.0144,-0.0502,0.1062,0.4889,176.8,-0.0273,3.217,nan,4.169,0.0224,0.44,0.4373,8.648,0.2921,0.68,nan,-0.0089,0.7292,0.0692,0.8422,3.769,1.016,0.2232,0.9787
2,3,小金圣源,sy3,88.33,0.1472,0.1615,0.7555,353.4,0.015,-0.043,0.0659,0.5494,183.3,-0.0285,3.989,nan,4.27,0.0219,0.4703,0.4749,7.549,0.3055,2.928,nan,0.0161,0.7098,0.0409,0.9181,1.781,0.5325,0.2066,1.008
3,4,小金华兴,hx1,106.5,0.1447,0.166,0.8628,346.7,0.0129,-0.1112,0.2838,0.5077,176.9,-0.0253,4.086,nan,4.136,0.0272,0.4033,0.577,5.877,0.3139,3.978,nan,0.0329,0.5695,0.0472,1.114,3.5,1.094,0.2612,0.9078
4,5,小金华兴,hx2,nan,0.148,0.1783,0.9308,356.7,0.0133,-0.1342,0.1095,0.5206,178.1,-0.0244,4.463,nan,4.182,0.02,0.3514,0.4516,5.772,0.3011,3.772,nan,-0.0166,0.5806,0.0174,1.173,3.672,1.003,0.2871,0.9042
5,6,小金华兴,hx3,nan,0.1471,0.2235,1.002,355.2,0.0138,-0.1529,0.1108,0.5514,176.7,-0.0255,5.1,nan,4.268,0.0265,0.4314,0.4651,6.907,0.3115,1.944,nan,0.0199,0.5519,0.0219,1.182,3.657,1.097,0.3069,0.9693
6,7,金川庆宁,qn1,nan,0.1801,0.1055,0.9472,172.3,0.0133,nan,0.169,0.5733,175.4,-0.0268,6.339,nan,4.307,0.02,0.6666,0.434,9.494,0.2927,-12.99,nan,0.0027,0.4982,0.0147,0.64,6.038,1.914,0.3803,1.086
7,8,金川庆宁,qn2,nan,0.2237,0.1184,0.9951,118,0.014,nan,0.1766,0.5806,182.9,-0.0282,6.099,nan,4.777,0.0215,0.6311,0.4525,9.73,0.3216,-16.27,nan,-0.0098,0.5439,0.0147,0.5903,5.908,1.472,0.392,1.085
8,9,金川庆宁,qn3,nan,0.1712,0.1043,0.9129,141.8,0.0125,nan,0.151,0.5574,176.8,-0.0256,5.611,nan,4.227,0.0197,0.5682,0.4048,10.36,0.3018,-12.97,nan,0.0155,0.5621,0.0165,0.605,5.583,1.484,0.3484,1.196
9,10,金川勒乌,lw1,nan,0.1423,0.2067,1.137,360.2,0.011,nan,0.1262,0.4761,162.8,-0.0263,5.75,nan,3.886,0.0232,0.3049,0.403,4.182,0.283,4.813,nan,-0.0048,0.6452,0.0196,1.28,5.262,1.561,0.3603,0.8321
10,11,金川勒乌,lw2,nan,0.1415,0.2204,1.15,339.7,0.0112,nan,0.1343,0.5099,162.6,-0.0259,6.009,nan,3.912,0.028,0.3241,0.4146,4.743,0.2933,2.051,nan,-0.0095,0.7313,0.0222,1.177,5.207,1.554,0.3703,0.8468
11,12,金川勒乌,lw3,nan,0.0825,0.1384,0.966,418.6,0.0099,-0.1969,0.1243,0.3742,149.7,-0.0228,5.443,nan,3.218,0.0171,0.611,0.3163,4.28,0.2307,13.27,nan,0.006,0.6397,0.025,1.757,6.733,1.887,0.3464,0.7074
12,13,马尔康雪松,xs1,nan,0.1453,0.2067,1.359,250.4,0.0134,-0.1122,0.0923,0.7036,174.1,-0.0294,4.046,nan,5.405,0.0234,0.2622,0.4344,8.331,0.4227,-5.199,nan,-0.0183,0.4027,0.0175,1.226,2.96,0.6522,0.2402,1.533
13,14,马尔康雪松,xs2,nan,0.1598,0.2345,1.473,214.8,0.0142,-0.0971,0.0917,0.7064,182.2,-0.0351,4.269,nan,6.896,0.024,0.2448,0.4457,16.53,0.4765,-10.36,nan,-0.0195,0.5402,0.0378,1.191,2.547,-0.0825,0.2095,2.002
14,15,马尔康雪松,xs3,81.96,0.1151,0.1372,1.227,249,0.0127,-0.0622,0.1819,0.5247,170.4,-0.0333,2.831,nan,5.087,0.0183,0.2596,0.3369,13.05,0.413,-4.41,nan,-0.0136,0.5377,0.0157,1.185,3.142,0.9214,0.2901,1.597
15,16,茂县茂兴,mx1,nan,0.0738,0.2106,1.955,268.4,0.0144,-0.1649,0.0963,0.8238,169.2,-0.0354,6.306,nan,5.216,0.0329,0.41,0.3829,21.3,0.3451,-5.544,nan,0.0078,0.3792,0.018,1.139,5.45,1.251,0.3703,1.458
16,17,茂县茂兴,mx2,69.11,0.0543,0.0854,0.8529,318,0.0123,-0.042,0.0448,0.5343,152.9,-0.03,3.185,nan,3.896,0.0186,0.2518,0.3225,18.71,0.2638,2.51,nan,0.0043,0.529,0.0549,1.211,4.233,0.9865,0.209,1.182
17,18,茂县茂兴,mx3,62.75,0.0409,0.0519,0.9391,364.1,0.0112,-0.0305,0.0138,0.4733,158.2,-0.0251,2.805,nan,3.482,0.0222,0.282,0.298,12.31,0.2451,7.026,nan,0.0261,0.5382,0.0106,1.249,4.509,1.536,0.2147,0.8368
18,19,汶川绵虒,mc1,nan,0.076,0.1805,0.993,357.1,0.0125,-0.1419,0.0862,0.5657,170.6,-0.0286,4.732,nan,4.289,0.0245,0.3557,0.4183,10.53,0.3453,3.123,nan,-0.0093,0.3772,0.0216,1.325,2.247,0.6105,0.2541,1.077
