,序号,养殖场,样品号,精料,玉米秸,酒糟
0,1,小金盛源,sy1,0.5910413774576004,0.130405228763236,2.3977289138288023
1,2,小金盛源,sy2,0.5060593617399198,0.25078676597029087,2.1643820792508586
2,3,小金盛源,sy3,0.4069411363780375,0.22939081895297342,2.791143150701891
3,4,小金华兴,hx1,0.7253542966340878,0.3512469774762929,2.2518872034274766
4,5,小金华兴,hx2,0.7647164974046982,0.26265526003637457,2.6738375336256945
5,6,小金华兴,hx3,0.4961295691412468,0.4620267589993766,2.76362386939418
6,7,金川庆宁,qn1,0.6048652430842417,0.1038297861500851,2.0462055860030177
7,8,金川庆宁,qn2,0.9572802816092785,0.08294368108940109,1.650873468651468
8,9,金川庆宁,qn3,0.6722939029848656,0.06410630304022302,2.1643820792508586
9,10,金川勒乌,lw1,0.866976556756715,0.26092597720682,0.3976407183897965
10,11,金川勒乌,lw2,0.787789135561108,0.251616436266577,0.6767495203031995
11,12,金川勒乌,lw3,0.8388096817016704,0.17554573500316825,0.7301615708807553
12,13,金川雪松,xs1,1.092483262352066,1.5475852772313303,2.22233264110767
13,14,金川雪松,xs2,1.0997236780722057,1.6863541301890312,1.8840371701074698
14,15,金川雪松,xs3,0.9732201072256657,1.3206987749211743,2.971909350027388
15,16,汶川绵虒,mc1,0.7325771423903028,0.28810386047129544,1.8902700734709688
16,17,汶川绵虒,mc2,0.6880181837728714,0.26352419451372777,1.9473023430389749
17,18,汶川绵虒,mc3,0.8443688797369089,0.3027366195869664,1.437041550057632
18,19,茂县茂兴,mx1,1.7694407277142483,0.3181125747118372,1.3630728071299605
19,20,茂县茂兴,mx2,1.6839149001040123,0.28338516912775963,1.4803992385771456
20,21,茂县茂兴,mx3,1.695075019745427,0.2583533770284887,1.0675151525279636
21,22,松潘雄山,spxs1,0.22308596855717383,2.0491696112190225,1.0888809503353616
22,23,松潘雄山,spxs2,0.4538021284009003,1.6919330447119898,1.0192777890292164
23,24,松潘雄山,spxs3,0.4752783328858701,1.429648201385734,1.043117675252361
