,序号,养殖场,饲料,样品号,样品重量,铝（Al3961）,砷（As1937）,硼（B2089）,钡（Ba4934）,钙（Ca1840）,镉（Cd2144）,钴（Co2378）,铬（Cr2843）,铜（Cu2247）,铁（Fe2395）,汞（Hg1942）,钾（K7698）,镁（Mg2802）,锰（Mn2939）,钼（Mo2045）,钠（Na5895）,镍（Ni2216）,磷（P1858）,铅（Pb1822）,钯（Pd3242）,铷（Rb4244）,硒（Se1960）,硅（Si2881）,锡（Sn1899）,锶（Sr4215）,钛（Ti3361）,铊（Tl1908）,钒（V2687）,锌（Zn2062）
0,1,金川勒乌,粗料,cl2,1.0562,7.091,0.022,1.766,0.413,257.0,0.004,-0.0043,5.326,0.8216,13.14,-0.1832,^ *****,^ *****,4.678,0.0843,1.933,0.0323,39.02,0.3345,4.287,z *****,0.0239,4.625,0.0051,2.034,0.385,-0.2474,-0.0333,1.02
1,2,金川勒乌,精料,jl2,1.014,8.723,0.0255,0.8584,0.4543,235.6,0.0043,0.0722,5.693,2.115,1.76,-0.2568,21.56,^ *****,6.853,0.0174,^ *****,0.0833,186.9,0.2029,7.182,z *****,0.1507,1.065,0.0112,0.4039,-0.0038,0.3837,-0.0377,6.883
2,3,金川勒乌,酒糟,jz2,1.0769,2.014,0.0026,0.7706,0.3838,25.17,0.0029,-0.0011,2.887,0.3593,3.523,-0.1798,7.6,^ *****,0.1764,0.009,0.6348,0.0299,13.18,0.2202,1.086,^ *****,0.013,1.675,0.0486,0.3437,0.0954,0.5041,-0.0038,1.087
3,4,金川庆宁,粗料,cl1,1.0759,8.373,-0.0001,0.8165,0.4558,253.2,0.0031,-0.0069,4.281,0.6118,7.69,-0.2554,^ *****,^ *****,6.947,0.1348,1.638,0.0179,39.12,0.1345,3.832,z *****,0.0367,1.621,0.0098,1.979,0.0059,-0.1403,-0.0514,1.455
4,5,金川庆宁,精料,jl1,1.0161,13.27,0.0304,0.6253,0.5559,257.4,0.0067,0.065,5.573,2.072,3.471,-0.2241,22.14,^ *****,6.09,0.0161,^ *****,0.1747,180.4,0.2282,8.882,z *****,0.1377,0.6063,0.0077,0.5303,-0.0104,0.2587,-0.0246,7.624
5,6,金川庆宁,酒糟,jz1,1.0365,1.886,0.0007,0.1882,0.0605,49.2,0.0018,-0.0003,2.969,0.3103,7.265,-0.1935,3.21,^ *****,0.4526,0.005,0.8006,-0.0016,44.15,0.1636,1.309,^ *****,0.0188,3.423,0.01,0.1432,0.6758,0.4646,-0.0006,1.081
6,7,马尔康雪松,粗料,cl3,1.0364,9.217,0.0087,0.3225,0.4764,126.0,0.0172,-0.0004,2.514,0.5633,34.95,-0.163,23.38,^ *****,2.107,0.0274,1.115,0.0452,31.37,0.1638,2.508,^ *****,0.0386,0.7242,0.0047,0.689,0.6686,0.1348,-0.0027,1.365
7,8,马尔康雪松,精料,jl3,1.0494,9.021,0.0137,1.032,0.4801,360.4,0.0053,0.0007,5.674,0.7892,1.43,-0.2175,23.84,^ *****,2.889,0.0166,^ *****,0.0949,195.9,0.1669,7.772,^ *****,0.0306,0.6001,0.008,0.6744,-0.0127,0.5114,0.0801,2.511
8,9,马尔康雪松,酒糟,jz3,1.1129,34.39,0.0136,0.5179,0.55,42.22,0.0086,-0.0255,5.592,0.7854,61.48,-0.2049,9.648,^ *****,4.009,0.0239,^ *****,0.097,65.28,0.2401,2.484,^ *****,0.0113,1.074,0.0058,0.2359,2.866,0.303,0.0234,1.999
9,10,茂县茂兴,粗料,cl4,1.0902,20.73,0.014,2.208,0.8337,193.1,0.0315,-0.0082,3.226,1.089,65.38,-0.1911,^ *****,^ *****,3.742,0.0579,1.927,0.0797,47.63,0.4406,4.296,z *****,0.037,0.642,0.0066,1.176,1.111,0.1764,0.0069,1.857
10,11,茂县茂兴,精料,jl4,1.0094,7.749,0.0228,1.108,0.9044,619.3,0.002,-0.003,10.38,1.044,15.21,-0.0731,^ *****,^ *****,2.551,0.0814,^ *****,0.1395,215.2,0.1042,20.82,^ *****,0.0179,1.088,0.0008,1.098,^ *****,-0.3558,-0.0024,2.587
11,12,茂县茂兴,酒糟,jz4,1.049,39.81,0.033,0.3487,0.7537,94.6,0.0204,-0.0215,5.492,0.756,99.11,-0.1904,9.207,^ *****,4.92,0.0259,^ *****,0.0845,66.72,0.2003,3.132,^ *****,0.0116,1.237,0.0061,0.3544,2.725,0.2084,0.0547,1.692
12,13,松潘雄山,粗料,cl5,1.0819,3.422,0.0035,1.507,0.304,366.3,0.0023,0.0,2.228,0.6135,9.148,-0.1781,20.92,^ *****,1.182,0.0298,2.022,0.0354,39.77,0.1359,6.076,^ *****,0.033,1.77,0.0047,2.731,0.207,0.3053,-0.0063,0.9411
