,序号,养殖场,饲料,样品号,砷（As）,铅（Pb）,镉（Cd）,铬（Cr）,铜（Cu）,镍（Ni）
0,19,小金盛源,酒糟,jz7,0.2,1.074418605,0.07255814,58.14883721,6.184186047,0.854883721
1,21,小金盛源,精料,jl7,0.110097203,1.332076969,0.022812934,26.45308471,5.793493354,0.493949613
2,20,小金盛源,粗料,cl7,0.0095048,1.112061591,0.03706872,31.75553655,4.825586921,0
3,22,小金华兴,酒糟,jz8,nan,1.710256181,0.110684638,28.93867714,6.885655628,0.147281978
4,24,小金华兴,精料,jl8,0.758696521,4.918032787,0.058976409,59.56617353,8.892443023,1.792283087
5,23,小金华兴,粗料,cl8,0.098300413,2.262746899,0.022967386,23.13275149,6.196600827,0.296738631
6,18,汶川绵虒,酒糟,jz6,0.039797035,2.587802209,0.049746294,23.02258482,3.145955626,0.041786887
7,17,汶川绵虒,精料,jl6,0.278372591,1.090130426,0.034066576,66.51742262,33.7745766,1.193303485
8,16,汶川绵虒,粗料,cl6,0.089639555,1.708812984,0.233062842,29.06208719,9.08284582,0.417059823
9,15,松潘雄山,酒糟,jz5,0.061583578,1.242424242,0.080156403,29.55034213,7.64516129,nan
10,14,松潘雄山,精料,jl5,nan,1.074041557,0.005853088,32.67973856,5.937957272,0.676031607
11,13,松潘雄山,粗料,cl5,0.032350495,1.256123486,0.021258896,20.5934005,5.670579536,0.327202144
12,12,茂县茂兴,酒糟,jz4,0.314585319,1.90943756,0.194470925,52.35462345,7.20686368,0.805529075
13,11,茂县茂兴,精料,jl4,0.225876758,1.032296414,0.019813751,102.8333664,10.34277789,1.382009114
14,10,茂县茂兴,粗料,cl4,0.128416804,4.041460283,0.28893781,29.59090075,9.988992845,0.731058521
15,9,马尔康雪松,酒糟,jz3,0.122203253,2.157426543,0.077275586,50.24710217,7.057237847,0.871596729
16,8,马尔康雪松,精料,jl3,0.130550791,1.590432628,0.050505051,54.0689918,7.520487898,0.904326282
17,7,马尔康雪松,粗料,cl3,0.083944423,1.580470861,0.165959089,24.25704361,5.43516017,0.436125048
18,1,金川庆宁,酒糟,jz1,0.006753497,1.578388808,0.017366136,28.6444766,2.993728895,nan
19,3,金川庆宁,精料,jl1,0.299183151,2.245841945,0.065938392,54.84696388,20.39169373,1.719318965
20,2,金川庆宁,粗料,cl1,nan,1.250116182,0.028813087,39.7899433,5.686402082,0.166372339
21,6,金川勒乌,酒糟,jz2,0.024143375,2.044758102,0.026929148,26.80843161,3.336428638,0.277648807
22,5,金川勒乌,精料,jl2,0.25147929,2.000986193,0.042406312,56.14398422,20.85798817,0.821499014
23,4,金川勒乌,粗料,cl2,0.208293884,3.167013823,0.037871615,50.42605567,7.778829767,0.305813293
