,序号,养殖场,牛号,样品号,组织,重量/g,砷（As1937）,铅（Pb1822）,汞（Hg1942）,镉（Cd2144）,铬（Cr2843）,铜（Cu2247）,钴（Co2378）,镍（Ni2216）
0,1,小金华兴,3,xjhx1,腿肌,1.014,0.0017,-0.0021,-0.0088,0.0,-0.0904,0.201,0.0013,-0.0058
1,2,小金华兴,3,xjhx2,肝脏,1.021,0.0026,-0.0009,-0.0095,0.0295,-0.0715,0.3854,0.004,-0.0265
2,3,小金华兴,3,xjhx3,背肌,1.033,0.0019,0.0018,-0.0099,-0.0001,-0.0959,0.3894,0.001,-0.0167
3,4,小金华兴,2,xjhx4,腿肌,1.086,0.0071,0.0112,-0.0102,0.0,0.0349,0.2117,-0.0024,0.0042
4,5,小金华兴,2,xjhx5,肝脏,1.028,0.0056,0.022,-0.0107,0.0264,0.0108,0.4039,0.0048,0.0024
5,6,小金华兴,2,xjhx6,背肌,1.047,0.0048,0.0155,-0.0104,0.0001,0.0072,0.213,-0.0044,0.0074
6,7,小金华兴,1,xjhx7,腿肌,1.098,0.002,-0.0036,-0.0095,0.002,-0.1027,0.2453,0.0007,-0.0109
7,8,小金华兴,1,xjhx8,肝脏,1.06,0.0013,-0.0028,-0.0095,0.0031,-0.0691,0.2996,0.0035,-0.0202
8,9,小金华兴,1,xjhx9,背肌,1.053,0.0027,-0.0045,-0.0102,-0.0003,-0.1005,0.2367,0.0006,-0.0168
9,10,小金圣源,3,xjsy1,腿肌,1.087,0.0061,0.0033,-0.0094,-0.0001,-0.0014,0.1486,0.0007,0.0092
10,11,小金圣源,3,xjsy2,肝脏,1.1,0.004,0.0051,-0.0097,0.0273,0.0146,0.169,0.0025,-0.0017
11,12,小金圣源,3,xjsy3,背肌,1.021,0.0051,0.0098,-0.0101,0.0002,0.0221,0.1913,-0.0053,-0.0003
12,13,小金圣源,2,xjsy4,腿肌,1.056,0.0062,0.011,-0.0113,0.0003,0.0163,0.2009,-0.0018,0.025
13,14,小金圣源,2,xjsy5,肝脏,1.027,0.0055,0.0101,-0.0102,0.0161,0.0091,0.3346,0.0047,0.0001
14,15,小金圣源,2,xjsy6,背肌,1.021,0.0071,0.002,-0.0107,0.0003,-0.0079,0.2246,0.0004,0.0003
15,16,小金圣源,1,xjsy7,腿肌,1.019,0.0061,0.0316,-0.0101,0.0009,0.0225,0.2519,-0.0087,0.0226
16,17,小金圣源,1,xjsy8,肝脏,1.006,0.0054,0.0174,-0.0103,0.0069,0.0099,0.5061,0.0034,0.0016
17,18,小金圣源,1,xjsy9,背肌,1.041,0.0057,0.0082,-0.0104,0.0002,0.0133,0.245,-0.0004,0.0209
18,19,松潘雄山,3,spxs1,腿肌,1.014,0.0024,-0.0032,-0.009,-0.0003,-0.0787,0.1817,0.0012,-0.0153
19,20,松潘雄山,3,spxs2,肾脏,1.043,0.0019,0.0003,-0.0092,0.085,-0.0676,0.4062,0.006,-0.0185
20,21,松潘雄山,3,spxs3,肝脏,1.084,0.0012,0.0001,-0.0095,0.0066,-0.0428,0.2966,0.0035,-0.0251
21,22,松潘雄山,3,spxs4,背肌,1.01,0.0023,-0.0017,-0.0091,-0.0002,-0.0745,0.3816,0.0011,-0.0109
22,23,松潘雄山,2,spxs5,腿肌,1.087,0.0006,-0.0027,-0.0083,0.0132,-0.05,3.389,0.0069,-0.0641
23,24,松潘雄山,2,spxs6,肾脏,1.027,0.0027,-0.0013,-0.0092,0.0601,-0.0604,0.2939,0.0085,-0.0149
24,25,松潘雄山,2,spxs7,肝脏,1.085,0.0009,-0.0034,-0.0089,-0.0003,-0.0771,0.1643,0.0022,-0.0224
25,26,松潘雄山,2,spxs8,背肌,1.006,0.001,-0.0026,-0.0086,-0.0002,-0.0659,0.2288,0.002,-0.0236
26,27,松潘雄山,1,spxs9,腿肌,1.062,0.0022,-0.0024,-0.0089,0.0028,-0.058,0.1782,0.0018,-0.0252
27,28,松潘雄山,1,spxs10,肾脏,1.064,0.0017,-0.0034,-0.0084,0.0315,-0.047,0.313,0.0103,-0.0241
28,29,松潘雄山,1,spxs11,肝脏,1.029,0.0022,-0.0017,-0.0087,0.0071,-0.0263,0.4298,0.0044,-0.0424
29,30,松潘雄山,1,spxs12,背肌,1.079,0.0033,0.0003,-0.0082,-0.0002,-0.0458,0.1451,0.0017,-0.0163
