,序号,养殖场,牛号,样品号,组织,砷（As1937）,铅（Pb1822）,镉（Cd2144）,铬（Cr2843）,铜（Cu2247）,钴（Co2378）,镍（Ni2216）
0,1,小金圣源,1,xjsybj1,背肌,0.0547550432276657,0.0787704130643612,0.00192122958693564,0.12776176753122,2.35350624399616,-0.00384245917387128,0.200768491834774
1,2,小金圣源,2,xjsybj2,背肌,0.069539666993144,0.019588638589618,0.0029382957884427,-0.0773751224289912,2.1998041136141,0.0039177277179236,0.0029382957884427
2,3,小金圣源,3,xjsybj3,背肌,0.049951028403526,0.0959843290891283,0.0019588638589618,0.216454456415279,1.87365328109696,-0.0519098922624878,-0.0029382957884427
3,4,小金圣源,1,xjsytj1,腿肌,0.0598626104023553,0.310107948969578,0.00883218842001963,0.220804710500491,2.4720314033366,-0.0853778213935231,0.221786064769382
4,5,小金圣源,2,xjsytj2,腿肌,0.0587121212121212,0.104166666666667,0.00284090909090909,0.154356060606061,1.90246212121212,-0.0170454545454545,0.236742424242424
5,6,小金圣源,3,xjsytj3,腿肌,0.0561177552897884,0.0303587856485741,-0.000919963201471941,-0.0128794848206072,1.3670653173873,0.00643974241030359,0.0846366145354186
6,7,小金圣源,1,xjsygz1,肝脏,0.0536779324055666,0.172962226640159,0.0685884691848907,0.0984095427435388,5.03081510934394,0.0337972166998012,0.0159045725646123
7,8,小金圣源,2,xjsygz2,肝脏,0.053554040895813,0.0983446932814021,0.156767283349562,0.0886075949367089,3.25803310613437,0.0457643622200584,0.000973709834469328
8,9,小金圣源,3,xjsygz3,肝脏,0.0363636363636364,0.0463636363636364,0.248181818181818,0.132727272727273,1.53636363636364,0.0227272727272727,-0.0154545454545455
9,10,小金华兴,1,xjhxbj1,背肌,0.0256410256410256,-0.0427350427350427,-0.00284900284900285,-0.954415954415955,2.24786324786325,0.0056980056980057,-0.15954415954416
10,11,小金华兴,2,xjhxbj2,背肌,0.0458452722063037,0.148042024832856,0.000955109837631328,0.0687679083094556,2.03438395415473,-0.0420248328557784,0.0706781279847183
11,12,小金华兴,3,xjhxbj3,背肌,0.0183930300096805,0.0174249757986447,-0.000968054211035818,-0.92836398838335,3.76960309777348,0.00968054211035818,-0.161665053242982
12,13,小金华兴,1,xjhxtj1,腿肌,0.0182149362477231,-0.0327868852459016,0.0182149362477231,-0.935336976320583,2.23406193078324,0.0063752276867031,-0.0992714025500911
13,14,小金华兴,2,xjhxtj2,腿肌,0.065377532228361,0.103130755064457,0.0,0.321362799263352,1.94935543278085,-0.0220994475138122,0.0386740331491713
14,15,小金华兴,1,xjhxgz1,肝脏,0.0122641509433962,-0.0264150943396226,0.0292452830188679,-0.65188679245283,2.82641509433962,0.0330188679245283,-0.190566037735849
15,16,小金华兴,2,xjhxgz2,肝脏,0.0544747081712062,0.214007782101167,0.256809338521401,0.105058365758755,3.92898832684825,0.046692607003891,0.0233463035019455
16,17,小金华兴,3,xjhxgz3,肝脏,0.0254652301665034,-0.00881488736532811,0.288932419196866,-0.700293829578844,3.77473065621939,0.039177277179236,-0.259549461312439
17,18,金川庆宁,1,jcqnbj1,背肌,0.0484018264840183,0.191780821917808,0.010958904109589,0.291324200913242,3.94520547945205,-0.0255707762557078,0.315981735159817
18,19,金川庆宁,2,jcqnbj2,背肌,0.0274102079395085,-0.0586011342155009,-0.00189035916824197,-0.925330812854442,3.45274102079395,0.0198487712665406,-0.166351606805293
19,20,金川庆宁,3,jcqnbj3,背肌,0.0454545454545455,0.0818181818181818,-0.00181818181818182,0.0590909090909091,1.55636363636364,0.00363636363636364,0.0663636363636364
20,21,金川庆宁,1,jcqntj1,腿肌,0.0510204081632653,0.148423005565863,0.00463821892393321,0.23469387755102,2.42115027829314,-0.0315398886827458,0.098330241187384
21,22,金川庆宁,2,jcqntj2,腿肌,0.0188323917137476,-0.0480225988700565,-0.00376647834274953,-1.03107344632768,2.70809792843691,0.00753295668549906,-0.129943502824859
22,23,金川庆宁,3,jcqntj3,腿肌,0.0604343720491029,0.0623229461756374,0.00188857412653447,0.265344664778093,1.75731822474032,-0.0236071765816808,-0.0226628895184136
