,季节,类型,测定时间,气温第一天,气温第二天,气温第三天,湿度第一天,湿度第二天,湿度第三天,NH3第一天,NH3第二天,NH3第三天,PM10第一天,PM10第二天,PM10第三天
0,暖,A1,0,27,27.7,25.5,82.4,79.7,88.9,18.8,nan,nan,nan,nan,nan
1,暖,A1,1,26.5,27.1,25.1,83.9,83,90.6,10.1,nan,nan,nan,nan,nan
2,暖,A1,2,25.9,26.3,24.8,86.4,85.9,91.5,15.43,nan,nan,nan,nan,nan
3,暖,A1,3,25.7,26.3,24.5,88.3,87,92.1,11.62,nan,nan,nan,nan,nan
4,暖,A1,4,25.5,26,24.3,88.4,88.7,93.2,17.71,nan,nan,nan,nan,nan
5,暖,A1,5,25.2,25.4,24.1,89.1,90.3,94.9,14.43,nan,nan,nan,nan,nan
6,暖,A1,6,24.7,25.1,23.6,91.9,92.9,96.5,16.65,nan,nan,nan,nan,nan
7,暖,A1,7,24.1,24.6,23.5,93.8,94.5,95.9,23.81,nan,nan,nan,nan,nan
8,暖,A1,8,24.5,25,24.1,94.8,95.1,97.1,17.04,12.7535,nan,79.55,79.62962963,79.21
9,暖,A1,9,26.7,26.9,26.5,87.3,86.7,90.5,17.33,nan,nan,nan,nan,nan
10,暖,A1,10,29.6,30.1,30.1,78.1,76.5,76.5,nan,nan,nan,nan,nan,nan
11,暖,A1,11,32.6,32.6,32.6,65.7,65.9,65.9,nan,nan,12.74576923,nan,nan,nan
12,暖,A1,12,35.5,34,34,55.3,58.5,58.5,nan,nan,nan,54.375,32.48148148,43.43
13,暖,A1,13,37.6,34.7,34,49.1,54.5,55.7,nan,nan,nan,nan,nan,nan
14,暖,A1,14,39.1,33.7,37.3,42.7,52.2,41.9,nan,4.433571429,6.056923077,nan,nan,nan
15,暖,A1,15,38.6,31,36.2,42.8,59.6,44.6,3.01,nan,8.321428571,nan,nan,nan
16,暖,A1,16,38.1,30.5,35.1,44,65.2,47.7,nan,nan,nan,nan,nan,nan
17,暖,A1,17,34.5,29.5,33.9,51.8,69.3,52.1,nan,nan,nan,nan,nan,nan
18,暖,A1,18,32,29.5,31.5,58.8,70.3,60,nan,nan,3.838928571,nan,nan,nan
19,暖,A1,19,30.3,28.6,29.9,65.2,73,66.7,1.1,1.858846154,1.052105263,nan,nan,nan
20,暖,A1,20,29.3,27.6,28.9,69,76.8,70.3,nan,nan,2.988421053,86.25,86.25,86.25
21,暖,A1,21,28.7,27.2,28.3,72.2,80.2,73.4,5.2,3.534545455,2.017666667,nan,nan,nan
22,暖,A1,22,28.6,26.7,27.5,74.6,84.2,77.2,nan,nan,nan,nan,nan,nan
23,暖,A1,23,28.3,26,27.4,76.2,87.2,78.9,10,8.17875,4.170555556,nan,nan,nan
24,暖,A1,24,27.7,25.5,27,79.7,88.9,82.4,nan,9.1156,nan,76.125,77.125,75.125
25,暖,A2,0,27.35,28.1,26,79.4,78,87.2,10.86,nan,nan,nan,nan,nan
26,暖,A2,1,26.95,27.45,25.65,80.85,81.25,88.55,9.28,nan,nan,nan,nan,nan
27,暖,A2,2,26.35,26.8,25.25,83.85,84.1,89.45,13.48,nan,nan,nan,nan,nan
28,暖,A2,3,26.15,26.75,24.9,86.15,85.2,90.7,14.93,nan,nan,nan,nan,nan
29,暖,A2,4,25.95,26.45,24.65,86.4,86.95,91.5,12.67,nan,nan,nan,nan,nan
30,暖,A2,5,25.75,25.9,24.5,87.55,88.85,93.2,14.27,nan,nan,nan,nan,nan
31,暖,A2,6,25.25,25.65,24.1,89.75,91.3,94.8,19.67,nan,nan,nan,nan,nan
32,暖,A2,7,24.7,25.1,23.9,91.5,92.05,94.55,25.31,nan,nan,nan,nan,nan
33,暖,A2,8,24.9,25.45,24.4,91.75,92.8,95.2,16.85,7.130769231,nan,nan,85.11111111,nan
34,暖,A2,9,26.7,26.9,26.4,85.8,86.65,89.9,9.89,nan,nan,nan,nan,nan
35,暖,A2,10,29.2,29.85,29.85,78.8,77.75,77.75,17.4,nan,25.50583333,nan,nan,nan
36,暖,A2,11,32.2,32.4,32.4,64.85,65.05,65.05,nan,nan,nan,nan,nan,nan
37,暖,A2,12,34.9,33.85,33.85,56.35,57.25,57.25,nan,nan,nan,49.625,34.74074074,nan
38,暖,A2,13,37.05,34.5,35.05,50,52.45,49.05,nan,nan,nan,nan,nan,nan
39,暖,A2,14,38.5,33.55,36.9,42.85,51.25,41.25,5.14,5.23,2.819107143,nan,nan,nan
40,暖,A2,15,38.15,31.2,35.75,42.05,58.5,46,nan,nan,5.492641509,nan,nan,nan
41,暖,A2,16,37.4,30.7,34.8,44.45,63.6,48.35,nan,nan,nan,nan,nan,nan
42,暖,A2,17,34.25,29.65,33.8,52.25,68.8,52.4,nan,nan,nan,nan,nan,nan
43,暖,A2,18,32.1,29.6,31.75,58.7,70,59.25,3.28,nan,7.805897436,nan,nan,nan
44,暖,A2,19,30.45,28.85,30.15,64.55,72.05,65.05,nan,2.223571429,2.285483871,nan,nan,nan
45,暖,A2,20,29.4,27.8,29.15,68.6,75.75,69.45,3.12,nan,5.172142857,86.625,nan,nan
46,暖,A2,21,28.85,27.5,28.55,71.3,78.8,71.75,nan,3.683965517,2.764912281,nan,nan,nan
47,暖,A2,22,28.7,27.05,27.7,73.45,82.45,74.9,nan,nan,nan,nan,nan,nan
48,暖,A2,23,28.45,26.5,27.6,75.3,85.15,76.05,8.4,5.764888889,6.03969697,nan,nan,nan
49,暖,A2,24,28.05,25.95,27.35,78,87.15,79.4,nan,6.495636364,nan,71.79166667,nan,nan
50,暖,A3,0,27.05,27.35,25.7,76.9,76.1,85.1,5.59,nan,nan,nan,nan,nan
51,暖,A3,1,26.7,26.6,25.35,79,78.95,86.5,8.6,nan,nan,nan,nan,nan
52,暖,A3,2,26.05,26.5,24.9,81.55,82.25,87.9,13.31,nan,nan,nan,nan,nan
53,暖,A3,3,25.85,26.2,24.7,83.95,83.6,88.85,17.32,nan,nan,nan,nan,nan
54,暖,A3,4,25.65,25.7,24.35,84.15,85.7,90.1,21.54,nan,nan,nan,nan,nan
55,暖,A3,5,25.45,25.2,24.15,86.05,86.25,91.2,16.12,nan,nan,nan,nan,nan
56,暖,A3,6,24.85,24.7,23.75,88.3,88.35,92.75,16.85,nan,nan,nan,nan,nan
57,暖,A3,7,24.15,24.9,23.55,89.65,90.85,92.85,22.86,nan,nan,nan,nan,nan
58,暖,A3,8,24.45,26.6,24,90.35,91.2,93.65,16.86,nan,nan,80.1,80.18518519,81.79
