,样品号,AFB1(µg·kg-1),氨氮浓度NH3-H（mg·dL-1）,挥发性脂肪酸VFA（mmol·L-1）,乙酸Acetate（mmol·L-1）,丙酸Propionate（mmol·L-1）,乙丙比Acetate/Propionate,丁酸Butyrate（mmol·L-1）,戊酸Valerate（mmol·L-1）,乳酸含量Lactate（mg·100mL-1）,微晶纤维素酶活性Avicelase（U）,羧甲基纤维素酶活性CMCase（U）,纤维二糖酶活性Cellorbiase（U）,木聚糖酶活性Xylanese（U）,微生物蛋白MCP（mg·mL-1）,瘤胃液AFB1(µg·L-1)
0,1,0,8.61,95.46000000000001,60.4,17.38,3.48,17.0,0.68,13.29,1.66,1.16,0.85,0.56,1.42,5.78
1,2,0,8.962,97.27000000000001,60.89,18.87,3.23,16.83,0.68,6.25,1.1,1.26,0.95,0.91,3.77,4.83
2,3,0,9.689,99.62,62.39,19.36,3.22,17.03,0.84,9.25,1.55,1.93,0.92,0.74,3.77,5.32
3,4,0,8.587,98.05,61.37,18.97,3.24,16.99,0.72,9.63,1.19,1.06,0.71,1.32,1.89,5.19
4,5,20,6.667,94.63999999999999,60.18,17.37,3.46,16.46,0.63,7.53,1.03,0.94,0.82,0.46,1.89,6.49
5,6,20,6.781,96.63,60.92,18.15,3.36,16.92,0.64,16.91,1.08,0.95,0.75,0.63,2.83,5.93
6,7,20,7.734,98.86,61.96,19.13,3.24,17.1,0.67,9.52,1.1,1.82,0.88,0.78,2.36,6.41
7,8,20,7.711,97.28,61.32,18.51,3.31,16.78,0.67,11.25,0.89,1.26,0.64,0.37,3.4,6.4
8,9,40,6.803,92.82000000000001,59.27,16.46,3.6,16.54,0.55,17.5,0.65,0.91,0.76,0.31,2.36,6.78
9,10,40,6.815,93.82,59.72,16.91,3.53,16.61,0.58,13.35,0.73,1.24,0.53,0.6,1.42,6.61
10,11,40,7.201,96.45,60.72,17.91,3.39,17.21,0.61,7.42,0.89,1.52,0.79,0.69,2.36,6.75
11,12,40,6.735,94.86999999999999,60.2,17.46,3.45,16.61,0.6,10.76,0.85,1.27,0.7,0.45,3.31,6.72
12,13,60,6.088,91.32000000000001,58.71,15.96,3.68,16.25,0.4,16.47,0.5,0.78,0.32,0.48,1.42,8.14
13,14,60,6.906,92.74,59.21,16.46,3.6,16.61,0.46,15.56,0.79,0.94,0.82,0.25,1.42,7.08
14,15,60,7.087,95.19,59.94,17.75,3.38,16.97,0.53,9.74,0.71,1.82,0.3,0.58,3.77,7.96
15,16,60,6.985,93.31,59.11,16.91,3.5,16.82,0.47,16.47,0.91,1.35,0.76,0.54,1.89,7.56
