,样品号,AFB1(µg·kg-1),Fe,Cu,Zn,Mn,Cr,Se,Ni,Mo,Sn,Si,Sr,B,As,Pb,Cd,挥发性脂肪酸总量,乙酸,丙酸,乙丙比,丁酸,戊酸
0,1,0,3.082,0.455,3.354,0.31,2.129,0.023,0.045,0.015,0,3.071,0.229,0.505,0.077,0.327,0.055,95.46,60.4,17.38,3.48,17,0.68
1,2,0,7.806,0.509,4.298,0.665,7.837,0.085,0.07,0.063,0.031,5.201,0.395,5.143,0.09,0.219,0.027,97.27,60.89,18.87,3.23,16.83,0.68
2,3,0,9.859,0.55,3.36,0.952,7.329,0.051,0.217,0.051,0.013,1.723,0.423,0.739,0.101,0.193,0.025,99.62,62.39,19.36,3.22,17.03,0.84
3,4,0,3.094,0.318,2.232,0.296,2.543,0.031,0,0.028,0.005,2.757,0.21,0.504,0.076,0.187,0.039,98.05,61.37,18.97,3.24,16.99,0.72
4,5,20,4.083,0.326,1.843,0.427,2.454,0.012,0.021,0.029,0.006,2.508,0.25,1.727,0.297,0.133,0.017,94.64,60.18,17.37,3.46,16.46,0.63
5,6,20,2.453,0.325,2.73,0.219,2.842,0.033,0.01,0.021,0.006,2.415,0.213,0.771,0.074,0.153,0.018,96.63,60.92,18.15,3.36,16.92,0.64
6,7,20,3.119,0.38,1.705,0.326,2.691,0.038,0,0.045,0.004,3.728,0.209,0.417,0.078,0.093,0.011,98.86,61.96,19.13,3.24,17.1,0.67
7,8,20,3.538,0.414,2.734,0.47,2.02,0.047,0,0.051,0.013,3.146,0.27,0.677,0.074,0.165,0.028,97.28,61.32,18.51,3.31,16.78,0.67
8,9,40,2.678,0.415,2.424,0.36,1.854,0.035,0,0.047,0.014,3.765,0.241,0.372,0.073,0.358,0.055,92.82,59.27,16.46,3.6,16.54,0.55
9,10,40,7.225,2.432,5.694,0.622,4.436,0.103,0,0.049,0.007,2.87,0.367,0.698,0.083,0.264,0.033,93.82,59.72,16.91,3.53,16.61,0.58
10,11,40,6.106,0.5,2.902,0.615,5.36,0.096,0,0.027,0.021,6.985,0.344,0.965,0.087,0.332,0.061,96.45,60.72,17.91,3.39,17.21,0.61
11,12,40,3.14,0.47,2.245,0.432,2.743,0.036,0,0.018,-0.003,2.424,0.271,0.413,0.089,0.173,0.029,94.87,60.2,17.46,3.45,16.61,0.6
12,13,60,4.66,0.774,1.775,0.209,2.046,0.033,0,0.038,0.023,8.885,0.157,1.427,0.119,0.164,0.014,91.32,58.71,15.96,3.68,16.25,0.4
13,14,60,3.262,0.378,2.346,0.262,1.661,0.077,0,0.057,0.004,2.223,0.181,0.416,0.08,0.112,0.009,92.74,59.21,16.46,3.6,16.61,0.46
14,15,60,5.082,0.279,1.457,0.139,2.146,0.057,0,0.052,0.117,6.78,0.116,0.526,0.099,0.154,0.01,95.19,59.94,17.75,3.38,16.97,0.53
15,16,60,1.933,0.172,1.079,0.1,1.875,0.04,0,0.157,0.044,4.298,0.085,0.355,0.255,0.188,0.027,93.31,59.11,16.91,3.5,16.82,0.47
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,10,,,,,,
