,样品号,AFB1(µg·kg-1),谷草转氨酶AST/(IU·L-1),谷丙转氨酶ALT/(IU·L-1),白蛋白ALB/(g·L-1),碱性磷酸酶ALP/(IU·L-1),乳酸脱氢酶LDH/(IU·L-1),谷氨酰氨基转移酶(IU·L-1),总胆汁酸(μmol·L-1),AFM1(µg·L-1)
0,1,0,45,24,32.9,141,746,14,6.6,2.92
1,2,0,42,24,36.6,157,658,16,4.5,2.68
2,3,0,43,25,27.1,159,754,16,7.6,2.85
3,4,0,52,23,35.0,125,671,17,7.9,2.81
4,5,20,51,29,28.1,164,863,17,8.6,3.68
5,6,20,44,20,40.1,119,610,15,8.4,3.15
6,7,20,50,24,30.6,177,742,16,7.1,3.49
7,8,20,43,24,29.6,180,647,16,6.4,3.26
8,9,40,55,27,25.7,166,884,17,8.5,4.01
9,10,40,51,27,35.7,136,716,16,7.1,3.81
10,11,40,45,23,30.7,177,796,16,8.4,3.95
11,12,40,43,26,33.0,184,782,17,8.4,3.82
12,13,60,55,29,28.5,246,949,19,8.5,4.84
13,14,60,48,24,34.1,155,880,17,8.1,4.03
14,15,60,55,31,30.4,157,936,18,8.5,4.05
15,16,60,52,28,30.0,166,963,15,8.5,4.05
